"ID","Bankruptcy","Realized.Sales.Gross.Profit.Growth.Rate","Operating.Expense.Rate","Operating.Profit.Per.Share..Yuan...","Gross.Profit.to.Sales","Tax.rate..A.","Current.Liability.to.Liability","Continuous.Net.Profit.Growth.Rate","Long.term.Liability.to.Current.Assets","Total.assets.to.GNP.price","Current.Liabilities.Equity","CFO.to.Assets","Current.Liability.to.Current.Assets","Persistent.EPS.in.the.Last.Four.Seasons","Cash.Total.Assets","Inventory.Working.Capital","Net.Value.Per.Share..B.","Current.Assets.Total.Assets","Net.Worth.Turnover.Rate..times.","Interest.Coverage.Ratio..Interest.expense.to.EBIT.","Equity.to.Liability","Operating.profit.Paid.in.capital","No.credit.Interval","Interest.bearing.debt.interest.rate","Net.Income.to.Stockholder.s.Equity","Quick.Ratio","Cash.Flow.to.Sales","Equity.to.Long.term.Liability","Working.Capital.Equity","After.tax.net.Interest.Rate","Current.Liability.to.Assets","Net.Value.Per.Share..C.","Revenue.per.person","Borrowing.dependency","Operating.Profit.Rate","Long.term.fund.suitability.ratio..A.","Pre.tax.net.Interest.Rate","After.tax.Net.Profit.Growth.Rate","Operating.profit.per.person","Realized.Sales.Gross.Margin","Cash.Current.Liability","Current.Liability.to.Equity","Total.expense.Assets","Current.Asset.Turnover.Rate","Fixed.Assets.Turnover.Frequency","ROA.B..before.interest.and.depreciation.after.tax","Quick.Asset.Turnover.Rate","Debt.ratio..","Retained.Earnings.to.Total.Assets","Total.debt.Total.net.worth","Fixed.Assets.to.Assets","Total.Asset.Growth.Rate","Inventory.and.accounts.receivable.Net.value","Net.Income.Flag","Per.Share.Net.profit.before.tax..Yuan...","Continuous.interest.rate..after.tax.","Liability.Assets.Flag","Working.Capital.to.Total.Assets","Degree.of.Financial.Leverage..DFL.","Operating.Gross.Margin","Contingent.liabilities.Net.worth","Operating.Profit.Growth.Rate","Cash.Flow.to.Liability","Quick.Assets.Total.Assets"
1,0,0.0876608655590606,0.000190034873672249,0.131093679550614,0.583345451248809,0,0.815891656287329,0.395719370199778,0.0892755174464535,0.000489326639723849,0.281140614163186,0.665065984611901,0.0663874086590863,0.249060740522324,0.140873330879303,0.431138918447547,0.191172808461511,0.29764391834356,0.0242845849717776,0.725171917306147,0.0497117381884495,0.0784488915458921,0.7401156465258,0.000472101838381061,0.860094701798775,0.00240567612553578,0.791955892950748,0.21715890103176,0.828121437002919,0.898076205414099,0.0597364842506929,0.124798253929004,0.0263975603274841,0.437042998230877,0.999061536061867,0.0129587264652906,0.861570613612894,0.71169364027387,0.379530611636475,0.620655850976561,0.0603322355182271,0.359905371436925,0.0094063113374533,0.00428814368583987,2237306377.32575,0.586047257421391,5.90195158634374e-05,0.258266144493087,0.942832707083018,0.0382631230041878,0.833613259955021,76206850409.4563,0.349014304798342,1,0.223720452874325,0.801737190935602,0,0.839111867128121,0.0365510423093938,0.591350277413473,0.00740122969254298,0.913175419901953,0.489822421995834,0.138714089852404
2,0,0.0218916843037677,0.000537157561272237,0.0861669434571213,0.695477678780182,0.209649224919628,0.768636181485159,0.163504502841495,0,0.0188228628217771,0.304522445162242,0.602283939825534,0.038971726319759,0.262612781887379,0.137159595166428,0.322353634516925,0.391213078544689,0.79298353958184,0.0672743882841959,0.567917811434055,0.139835926844744,0.343944225329828,0.623515304172288,31157661.1365141,0.819081830122187,0.0588364376413597,0.769482232001464,0.21184179298396,0.698551509985714,0.860088928855578,0.139001654127218,0.173521701585139,0.0208667453142771,0.502983843635853,0.999227011101817,0.00664762769410703,0.819185755127216,0.808840453546493,0.609300977659112,0.694097289710801,0.0200142033113076,0.427782159399495,0.142211294110453,0.000192747317147984,0.00253752938004649,0.56191459187967,0.00138537626956037,0.141277308494192,0.96291445109134,0.000593601116792875,0.173682946119455,1003695.72654526,0.377744263532083,1,0.324762938566168,0.791202684266766,0,0.90845008591669,0.126751503718397,0.766065791245112,0.0205135582037934,0.849240790651493,0.550246589074872,0.704211398500593
3,0,0.102248935962981,0.000217832896250508,0.157755272461708,0.76693362998334,0.272061409685062,0.643315655842143,0.181570698733436,0.0101802809413265,0.0203233134717539,0.398059512561432,0.571544671259973,0.102786114036425,0.264661397449506,0.166239214187876,0.416703747497787,0.17045496767404,0.494233912318125,0.015203646612641,0.607235019868719,0.0386199704510981,0.100376229019852,0.754267504256542,0.000230174297112541,0.87092661346132,0.103189721390817,0.721866018657616,0.217447815532176,0.709177262398576,0.820038804286251,0.165286630870515,0.267026726596497,0.0317821684111162,0.556356857730784,0.999099868205621,0.00228227748229608,0.857014006459756,0.662214330228487,0.501464769605018,0.566414937618441,0.0351034095929471,0.322577330239993,0.0166984288192229,0.00506100007469586,0.000529674720087867,0.609650700435047,0.00998953105321051,0.144201899972014,0.9578347489866,0.00222835811129162,0.170232973622441,267556.128913293,0.463732346209509,1,0.360891701437995,0.803126420332518,0,0.865942512147402,0.0181515737721638,0.687211337173732,0.00436260477970286,0.865813622485793,0.447167928919418,0.398085519368964
4,0,0.0299724568533879,49157564355.9814,0.249279209454543,0.61157998877739,0.288356737073824,0.752781604001457,0.409196283544462,0.0186028023533719,0.0516212726398753,0.569483697374892,0.597298861748562,0.0206869835738269,0.323814001319995,0.10669330742823,0.316508486889123,0.283815303294778,0.568482314569336,0.0556942732408096,0.55456446893403,0.0412079883757519,0.301615077585589,0.647968239101062,0.00025606331292958,0.895735122453021,0.00957669403294074,0.709323550328434,0.0992469267701909,0.834493535218318,0.86141466070629,0.234281502611346,0.458724667644643,0.0219607059460732,0.321767086427142,0.999235403545465,0.0138671594479381,0.816413828324528,0.736790171453898,0.546017477070809,0.630496166965481,0.00335216746874814,0.353370638609878,0.106082633365408,1361320545.34801,0.000398276809777434,0.689416578578419,4283613677.60079,0.151898924962701,0.939676226686801,0.0480308392928991,0.238827544265546,870819.419917549,0.62894458745621,1,0.152444882635153,0.824732162472985,0,0.806253806435586,0.0512840938852102,0.715972795699684,0.0141621357284547,0.843356808515621,0.485163237841553,0.617386009653221
6,0,0.0211644599485784,0.000120600058479456,0.239816726416682,0.614250480665955,0,0.559497834531093,0.28698851418875,0.148687012082339,0.0145315570717633,0.352223075365318,0.736236309458794,0.0900891751588477,0.216884379507611,0.199713447302786,0.318945985402283,0.159607879724058,0.265768517533476,0.0120542900897061,0.649717146046415,0.016068789899285,0.12475983338023,0.619152510217549,0.000477806235389485,0.900674214757124,0.00674352466489537,0.727858503715766,0.341442634933648,0.774199786213155,0.86129718723328,0.036140556437075,0.236899775598673,0.0387730029024423,0.448474780425789,0.99895232596952,0.0432163127451989,0.817331421062079,0.641271268020567,0.527362682213336,0.565385378930553,0.024600972868458,0.286198161347607,0.0205395855421349,0.000114641652768578,2424120400.61205,0.721055316892469,0.00022708703204851,0.212987957202504,0.962426175854048,0.0204941306642149,0.814498104477398,98817472230.2872,0.419043267380711,1,0.217281620909866,0.787009869326032,0,0.769842987783684,0.012872346934079,0.704042638591688,0.00304967576226159,0.88490472422981,0.422001281219421,0.187121465964617
7,0,0.0279366640787394,0.00687759095901034,0.114510281542191,0.575848339957125,0,0.929087180057356,0.268315246774055,0,0.0137275766908929,0.457054525347576,0.725319606525334,0.169575145802025,0.178716056649961,0.0105162792931835,0.367009564056804,0.210727963771493,0.494789620272509,0.046601333947063,0.681556136191578,0.0567042001064842,0.087638477980141,0.641913687033168,0.0165877304040101,0.85150352730875,0.00227603251198425,0.775479394357441,0.118973996389444,0.766476989246585,0.798988521923608,0.242671202989779,0.270704319345901,0.0561755753276328,0.60496523511689,0.998837002109212,0.00249837516026484,0.837664135898017,0.731659284915473,0.431725879805255,0.657569322746096,0.011318483745269,0.364868505204995,0.0151747496843811,0.000309652198736945,0.00748383618969311,0.548621742127432,63309243157.7763,0.214891260920837,0.89643145298195,0.00855506891566105,0.332272253306605,528106.312753453,0.524511149946213,1,0.404884144241849,0.760200895365657,0,0.837648741233569,0.0467992251974277,0.632727060345215,0.0149277733653696,0.897305545817027,0.492287873573133,0.23477815766718
8,0,0.0567413387572527,0.000260572556971829,0.207182118213853,0.784874329253498,0.0832770738792116,0.878372362742752,0.16837717493327,0,0.0162903158351549,0.455496709473172,0.581893489825366,0.0503047893725818,0.423403586167843,0.187819711905606,0.285869373339202,0.321882934580704,0.625422986726905,0.0296470707448488,0.604498705387424,0.20146094929769,0.319725214032625,0.701056135997987,0.000446712280112189,0.878030195717262,0.10960648398906,0.670886384811267,0.155826030243106,0.701268048341879,0.853487614098841,0.156373025245833,0.31410997345075,0.00612134783161942,0.491999161629191,0.999496162321669,0.00439025510572367,0.801945096749536,0.773421685978066,0.419674224858493,0.614573944609541,0.0294495563734314,0.529519001074696,0.18542337113465,0.00137404017241662,0.000555127526285499,0.681180525461653,0.0100412898930213,0.0634874077120403,0.954799518092227,0.000925150159098949,0.252132106047427,3101544.05022513,0.52425548160675,1,0.312324484270206,0.860984405947562,0,0.869006288412418,0.0820428967447759,0.635568175007616,0.0055090936715915,0.864678638516344,0.645276437078097,0.641412788349318
9,0,0.0137346926119126,0.000718870082971844,0.121212052836062,0.624700945415325,0.214044022573526,0.856160227683487,0.296109015394972,0,0.00644124946042211,0.455457362770512,0.61109546843884,0.0170666675372201,0.424294267166802,0.285692602467533,0.287501075410613,0.382856850232413,0.672860288113557,0.0143425196645576,0.677654755547057,0.0493869252151219,0.213688128773172,0.588316719165513,42089604.118881,0.840906236188511,0.0170249392772392,0.788062570678468,0.12464789308117,0.785177854408721,0.894992049025819,0.0918091416160413,0.31953616754125,0.00783529217910816,0.393089413551022,0.999491712473397,0.0153110624956706,0.80283591536743,0.801956224516373,0.44377658894119,0.56734521402219,0.0727655360106427,0.290728667497124,0.092164999052541,6.32765814043427e-05,0.00132141475113597,0.612501372127947,0.000159943478242026,0.182484715609328,0.951573696890604,0.00770580392636476,0.351291113452749,121911379.677546,0.524254718985845,1,0.221278088640852,0.859101915579515,0,0.882449111230645,0.116626533167972,0.656065394768172,0.00233387698565755,0.89369593941012,0.429744776067363,0.607400037371753
10,0,0.0313612617570118,14833027486.8943,0.129416453534581,0.757812440622476,0.318624322506125,0.498925837773163,0.377563878484851,0.0157472102249384,0.0027339008195668,0.307832201574454,0.764341534682839,0.0730771326353326,0.406123974791612,0.440684698017063,0.240011897721932,0.144857373618664,0.517197137829451,0.0643222319898955,0.601171731746358,0.0575451376797302,0.238485905577542,0.653070455567577,0.000563639458717067,0.849835980089546,0.0751329501382473,0.693333252584557,0.101487286398362,0.822221749574837,0.81481643629062,0.0983118260695406,0.166405423147467,0.0867749280635822,0.500260388192552,0.999438169821623,0.0685575387673277,0.777441206646017,0.653763581058216,0.486232211799317,0.65500017133584,0.0238548685051637,0.401700035488111,0.0778388099467588,0.000264051413290118,9.45546675828489e-05,0.59015769810836,319816.330555812,0.14330406115786,0.93027975865977,0.0394487302753454,0.570518461261864,301133494.533768,0.376312770234725,1,0.29665949613011,0.861138514225916,0,0.790240767849041,0.0163473263889032,0.674539445311052,0.0123476809803958,0.862675366419099,0.544731425036577,0.505442828558064
11,0,0.113497531568055,0.00754369024820259,0.185871974956215,0.610583801841374,0.0885885159441119,0.987303813175365,0.216731879006398,0,0.00124053111108082,0.434247985046308,0.72955470612493,0.0570616217164011,0.173026055726346,0.207068140806783,0.458490679286523,0.171465635150763,0.652082595687637,0.0806121155776831,0.581245705544091,0.0529695456323733,0.139245197782303,0.764370417933813,0.0174914635510202,0.87811577234349,0.00996053212280476,0.738751730087558,0.326845502212516,0.737471453664807,0.836309557704593,0.046192880708759,0.289027755656216,0.0610433751262435,0.49627129172494,0.998887503504415,0.0250621003657657,0.871482988118507,0.672919292928738,0.405711897403499,0.709176197072558,0.0102024919464542,0.320313529895211,0.0340105906248289,0.00800849586973065,0.0107728764125006,0.661640614972213,0.00014000263534686,0.129608292091078,0.968841371735715,0.00270231197905463,0.280390334880297,260319832294.405,0.504740333809643,1,0.299968991438998,0.746423245429407,0,0.915310601717425,0.0212278231149797,0.615312212345374,0.0270035714506461,0.854806643224555,0.451896494789637,0.4377468702138
